Effective date ,S&P GSCI Energy & Metals,Rate of rise or fall,Ln(B),Ln(今日)-Ln(昨日),5日标准差,5日年化标准差,,,
2012/2/14,525.05,-0.188%,6.263493496,-0.001883759,0.00922925,0.1465098,,,
2012/2/15,529.5,0.848%,6.271933165,0.008439669,0.009596094,0.152333263,,,
2012/2/16,532.08,0.487%,6.276793854,0.004860689,0.008510372,0.135097973,,,
2012/2/17,533.16,0.203%,6.278821567,0.002027713,0.004851564,0.077016194,,,
2012/2/21,544.48,2.123%,6.299831211,0.021009644,0.008753637,0.138959672,,,
2012/2/22,546.96,0.455%,6.304375674,0.004544463,0.007529155,0.119521637,,,
2012/2/23,551.82,0.889%,6.313221906,0.008846233,0.007534902,0.119612864,,,
2012/2/24,558.82,1.269%,6.325827418,0.012605512,0.00745764,0.118386366,,,
2012/2/27,554.35,-0.800%,6.317796256,-0.008031162,0.010722713,0.170217794,,,
2012/2/28,545.62,-1.575%,6.301922763,-0.015873493,0.011972879,0.190063562,,,
2012/2/29,545.57,-0.009%,6.30183112,-9.16431E-05,0.01175091,0.186539914,,,
2012/3/1,554.9,1.710%,6.318787917,0.016956798,0.013754195,0.218341083,,,
2012/3/2,546.2,-1.568%,6.302985209,-0.015802708,0.013687412,0.217280935,,,
2012/3/5,545.47,-0.134%,6.301647808,-0.001337401,0.013591072,0.215751577,,,
2012/3/6,537.16,-1.523%,6.286296002,-0.015351807,0.013471214,0.213848896,,,
2012/3/7,543.44,1.169%,6.297919305,0.011623303,0.015056277,0.239010987,,,
2012/3/8,548.41,0.915%,6.307023182,0.009103878,0.01301434,0.206596239,,,
2012/3/9,552.03,0.660%,6.313602393,0.00657921,0.010910883,0.173204896,,,
2012/3/12,548.25,-0.685%,6.306731387,-0.006871005,0.011608056,0.184272183,,,
2012/3/13,552.06,0.695%,6.313656736,0.006925349,0.007188828,0.114119104,,,
2012/3/14,546.94,-0.927%,6.304339107,-0.009317629,0.008659001,0.13745738,,,
2012/3/15,543.12,-0.698%,6.29733029,-0.007008817,0.00799388,0.126898911,,,
2012/3/16,551.96,1.628%,6.31347558,0.01614529,0.011088057,0.176017454,,,
2012/3/19,554.77,0.509%,6.318553613,0.005078034,0.010516725,0.166947827,,,
2012/3/20,546.05,-1.572%,6.302710547,-0.015843067,0.012742032,0.202273483,,,
2012/3/21,547.86,0.331%,6.30601978,0.003309233,0.012216476,0.193930551,,,
2012/3/22,540.12,-1.413%,6.291791337,-0.014228443,0.013644808,0.216604618,,,
2012/3/23,547.27,1.324%,6.304942282,0.013150945,0.012733545,0.202138767,,,
2012/3/26,549.42,0.393%,6.308863176,0.003920894,0.012589105,0.199845841,,,
2012/3/27,549.16,-0.047%,6.308389838,-0.000473338,0.00994351,0.157848325,,,
2012/3/28,542.21,-1.266%,6.29565338,-0.012736458,0.011529509,0.183025281,,,
2012/3/29,532.94,-1.710%,6.278408847,-0.017244533,0.012372529,0.196407806,,,
2012/3/30,533.87,0.175%,6.280152364,0.001743516,0.009424974,0.149616829,,,
2012/4/2,544.21,1.937%,6.299335202,0.019182838,0.014253771,0.226271605,,,
2012/4/3,541.82,-0.439%,6.294933843,-0.004401359,0.014263341,0.22642352,,,
2012/4/4,529.42,-2.289%,6.271782068,-0.023151775,0.016656859,0.264419436,,,
2012/4/5,534.4,0.941%,6.281144622,0.009362555,0.015910361,0.252569147,,,
2012/4/9,530.83,-0.668%,6.274441819,-0.006702803,0.016197383,0.257125484,,,
2012/4/10,522.84,-1.505%,6.25927549,-0.015166329,0.012217028,0.193939308,,,
2012/4/11,527.5,0.891%,6.268148865,0.008873375,0.014438291,0.229200769,,,
2012/4/12,533.67,1.170%,6.27977767,0.011628805,0.011872052,0.188462988,,,
2012/4/13,530.62,-0.572%,6.274046134,-0.005731536,0.011310215,0.17954409,,,
2012/4/16,525.9,-0.890%,6.265111081,-0.008935054,0.01161095,0.18431811,,,
2012/4/17,528.72,0.536%,6.270458991,0.005347911,0.00908622,0.144239275,,,
2012/4/18,523.51,-0.985%,6.260556132,-0.009902859,0.009526957,0.151235754,,,
2012/4/19,522.92,-0.113%,6.259428489,-0.001127644,0.006281047,0.099708526,,,
2012/4/20,527.01,0.782%,6.267219524,0.007791035,0.008049118,0.127775793,,,
2012/4/23,524.55,-0.467%,6.262540752,-0.004678772,0.007232015,0.114804676,,,
2012/4/24,525.33,0.149%,6.264026637,0.001485884,0.006630651,0.105258324,,,
2012/4/25,528.22,0.550%,6.269512864,0.005486227,0.005003115,0.07942199,,,
2012/4/26,532.09,0.733%,6.276812648,0.007299784,0.00518996,0.082388054,,,
2012/4/27,533,0.171%,6.278521424,0.001708776,0.00460591,0.073116551,,,
2012/4/30,532.76,-0.045%,6.278071041,-0.000450383,0.003181123,0.050498763,,,
2012/5/1,535.94,0.597%,6.284022215,0.005951173,0.003238832,0.051414866,,,
2012/5/2,529.84,-1.138%,6.272575074,-0.01144714,0.007432827,0.117992471,,,
2012/5/3,520.58,-1.748%,6.254943575,-0.0176315,0.009808093,0.155698648,,,
2012/5/4,505.67,-2.864%,6.225884283,-0.029059292,0.013854916,0.219939978,,,
2012/5/7,504.09,-0.312%,6.222754824,-0.003129459,0.013412517,0.212917105,,,
2012/5/8,501.1,-0.593%,6.216805682,-0.005949142,0.010343145,0.164192338,,,
2012/5/9,501.9,0.160%,6.218400897,0.001595215,0.012410423,0.197009364,,,
2012/5/10,501.92,0.004%,6.218440744,3.98478E-05,0.01250683,0.198539778,,,
2012/5/11,498.7,-0.642%,6.212004713,-0.006436032,0.003557601,0.056475171,,,
2012/5/14,492.13,-1.317%,6.198742909,-0.013261803,0.005914434,0.093888727,,,
2012/5/15,490.78,-0.274%,6.195995962,-0.002746947,0.00593256,0.094176467,,,
2012/5/16,485.99,-0.976%,6.186188048,-0.009807915,0.005326981,0.084563199,,,
2012/5/17,481.93,-0.835%,6.177798875,-0.008389172,0.003907197,0.062024826,,,
2012/5/18,479.36,-0.533%,6.172451881,-0.005346994,0.004052764,0.06433564,,,
2012/5/21,483.62,0.889%,6.181299474,0.008847593,0.007418468,0.117764535,,,
2012/5/22,481.57,-0.424%,6.1770516,-0.004247875,0.007411314,0.117650969,,,
2012/5/23,471.75,-2.039%,6.156449184,-0.020602415,0.010522267,0.167035815,,,
2012/5/24,474.81,0.649%,6.162914724,0.00646554,0.011692624,0.185614653,,,
2012/5/25,475.85,0.219%,6.165102679,0.002187955,0.01179589,0.187253946,,,
2012/5/29,474.59,-0.265%,6.162451273,-0.002651405,0.010308653,0.163644796,,,
2012/5/30,461.68,-2.720%,6.13487201,-0.027579263,0.014856581,0.235840915,,,
